Source Name	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Organism Part]	Term Source 2 REF	Term Source 2 Accession	Protocol REF	Protocol REF	Protocol REF	Assay Name	Experimental Condition [stretch duration]	Experimental Condition [ Nocodazole or DMSO]	Comment [Gene Identifier]	Comment [Gene Symbol]	Comment [Gene Annotation Comments]	Dataset Name	Image File	Comment [Image File Path]	Comment [Image File Comments]	Comment [Image File Type]	Channels	Protocol REF	Processed Data File
ExperimentB_No02_DMSO_22_control__005.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No02_DMSO_22_control__005.czi	0h (control)	DMSO				Chamber_22	ExperimentB_No02_DMSO_22_control__005.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No02_DMSO_22_control__006.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No02_DMSO_22_control__006.czi	0h (control)	DMSO				Chamber_22	ExperimentB_No02_DMSO_22_control__006.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No02_DMSO_22_control__007.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No02_DMSO_22_control__007.czi	0h (control)	DMSO				Chamber_22	ExperimentB_No02_DMSO_22_control__007.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No02_DMSO_22_control__008.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No02_DMSO_22_control__008.czi	0h (control)	DMSO				Chamber_22	ExperimentB_No02_DMSO_22_control__008.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No02_DMSO_22_control__009.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No02_DMSO_22_control__009.czi	0h (control)	DMSO				Chamber_22	ExperimentB_No02_DMSO_22_control__009.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No02_DMSO_22_control__010.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No02_DMSO_22_control__010.czi	0h (control)	DMSO				Chamber_22	ExperimentB_No02_DMSO_22_control__010.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No02_DMSO_22_control__011.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No02_DMSO_22_control__011.czi	0h (control)	DMSO				Chamber_22	ExperimentB_No02_DMSO_22_control__011.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No02_DMSO_22_control__012.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No02_DMSO_22_control__012.czi	0h (control)	DMSO				Chamber_22	ExperimentB_No02_DMSO_22_control__012.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No02_DMSO_22_control__013.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No02_DMSO_22_control__013.czi	0h (control)	DMSO				Chamber_22	ExperimentB_No02_DMSO_22_control__013.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No02_DMSO_22_control__014.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No02_DMSO_22_control__014.czi	0h (control)	DMSO				Chamber_22	ExperimentB_No02_DMSO_22_control__014.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No02_DMSO_22_control__015.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No02_DMSO_22_control__015.czi	0h (control)	DMSO				Chamber_22	ExperimentB_No02_DMSO_22_control__015.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No02_DMSO_22_control__016.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No02_DMSO_22_control__016.czi	0h (control)	DMSO				Chamber_22	ExperimentB_No02_DMSO_22_control__016.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No02_DMSO_22_control__017.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No02_DMSO_22_control__017.czi	0h (control)	DMSO				Chamber_22	ExperimentB_No02_DMSO_22_control__017.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No02_DMSO_22_control__018.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No02_DMSO_22_control__018.czi	0h (control)	DMSO				Chamber_22	ExperimentB_No02_DMSO_22_control__018.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No02_DMSO_22_control__019.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No02_DMSO_22_control__019.czi	0h (control)	DMSO				Chamber_22	ExperimentB_No02_DMSO_22_control__019.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No02_DMSO_22_control__020.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No02_DMSO_22_control__020.czi	0h (control)	DMSO				Chamber_22	ExperimentB_No02_DMSO_22_control__020.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
